source,target,type_of_relation
1,2;4,CONNECTS_TO
2,3;5;6;7;8;14;15,CONNECTS_TO
3,2,CONNECTS_TO
4,2,CONNECTS_TO
5,4,CONNECTS_TO
6,17;18,CONNECTS_TO
7,2,CONNECTS_TO
8,2;16;17;18;9,CONNECTS_TO
9,4,CONNECTS_TO
10,4,CONNECTS_TO
11,4,CONNECTS_TO
12,4,CONNECTS_TO
13,16;17;18,CONNECTS_TO
14,16;17;18,CONNECTS_TO
15,16;17;18,CONNECTS_TO
16,8;13;14;15,CONNECTS_TO
17,6;8;13;14;15,CONNECTS_TO
18,6;13;14;15,CONNECTS_TO
19,17;18,CONNECTS_TO
20,17;18,CONNECTS_TO
21,17;18,CONNECTS_TO
22,17;18,CONNECTS_TO
23,17;18,CONNECTS_TO
24,4,CONNECTS_TO
25,4,CONNECTS_TO
26,4,CONNECTS_TO